site_index,lon,lat,thresh_min,area_km2,pop,cropland_km2,rwi_mean,rwi_pop_weighted,mean_travel_min
26,14.9118,-12.8505,60,1287.8529792080678,100811.328125,335.02603442288415,-0.36305949091911316,-0.04229538142681122,39.08999252319336
26,14.9118,-12.8505,120,5111.9383482931225,1270711.0,1514.4736658408046,-0.3002094030380249,0.5324229001998901,80.13298797607422
26,14.9118,-12.8505,240,22252.403159896996,2458341.25,6141.330414801499,-0.34104883670806885,0.20391592383384705,160.64651489257812
27,14.9099,-12.8615,30,347.3398469117033,50851.0703125,102.2182137403493,-0.26559367775917053,0.01425780076533556,19.197872161865234
27,14.9099,-12.8615,60,1263.5008870013867,99103.09375,326.95867030138425,-0.3647978603839874,-0.03985460847616196,38.98057174682617
27,14.9099,-12.8615,120,5059.047676393695,1234707.875,1493.8407973635683,-0.30406031012535095,0.5404507517814636,80.1741943359375
27,14.9099,-12.8615,240,22143.217676280343,2453187.75,6114.597113611181,-0.3407245874404907,0.20482230186462402,160.9263153076172
28,16.0475684,-12.5610345,30,454.4327405144615,36673.0390625,77.82771783574526,-0.3785862326622009,-0.16819025576114655,21.146682739257812
28,16.0475684,-12.5610345,60,2134.4161857136364,623511.0625,533.3787314451446,-0.28515443205833435,0.5643799901008606,41.532161712646484
28,16.0475684,-12.5610345,120,10278.75758060583,1886088.625,2859.672539015436,-0.29392221570014954,0.32958343625068665,82.40286254882812
28,16.0475684,-12.5610345,240,33747.54050624573,2943895.0,8129.575052784958,-0.36858120560646057,0.12198632955551147,148.04298400878906
29,16.0108371,-12.5558828,30,385.5728383612111,31718.5703125,65.40529559060349,-0.3882879614830017,-0.15036609768867493,20.991548538208008
29,16.0108371,-12.5558828,60,1951.3732240254965,289715.625,460.9474881914009,-0.32198408246040344,0.13552513718605042,42.0954475402832
29,16.0108371,-12.5558828,120,9874.140313465801,1861954.0,2742.226071285495,-0.2917819619178772,0.3370378911495209,83.2660140991211
29,16.0108371,-12.5558828,240,33328.89850495719,2933355.0,8053.393182046545,-0.3679072856903076,0.12358206510543823,150.00302124023438
30,15.9000005,-12.5323524,30,305.80652181341776,19645.81640625,39.21746078165501,-0.37194913625717163,-0.2704244554042816,20.437419891357422
30,15.9000005,-12.5323524,60,1756.6385576590578,706231.9375,318.7065157829159,-0.24580597877502441,0.740620493888855,43.251182556152344
30,15.9000005,-12.5323524,120,9858.823458018847,1909618.0,2795.876831551272,-0.2895297706127167,0.32808512449264526,84.70992279052734
30,15.9000005,-12.5323524,240,33267.50303723804,2936578.0,8101.9485038308285,-0.3674008250236511,0.12345607578754425,149.873291015625
31,15.85686013,-12.55910948,30,214.1993896806482,20155.29296875,27.06455244596164,-0.29248660802841187,-0.06957115232944489,21.492782592773438
31,15.85686013,-12.55910948,60,1465.7380065112543,950150.375,320.66036049205616,-0.1588788479566574,0.6846946477890015,44.168418884277344
31,15.85686013,-12.55910948,120,9253.826519570626,1894381.5,2671.221036837025,-0.28687286376953125,0.3356947898864746,85.77792358398438
31,15.85686013,-12.55910948,240,32838.14427772432,2924382.5,8092.454152002196,-0.3669545650482178,0.12532328069210052,151.14984130859375
32,15.8353055,-12.5386274,30,359.538973559222,37593.70703125,52.34131561904434,-0.2989651560783386,-0.15868179500102997,20.227481842041016
32,15.8353055,-12.5386274,60,1937.8591094321519,1030479.6875,449.97502858212596,-0.18236273527145386,0.630612313747406,42.5438346862793
32,15.8353055,-12.5386274,120,10423.076699475076,1955138.75,3006.270349804699,-0.29473185539245605,0.3175816535949707,83.60431671142578
32,15.8353055,-12.5386274,240,33496.17622292995,2937240.75,8176.624673958397,-0.36802351474761963,0.12333672493696213,146.80250549316406
33,15.8393517,-12.5276705,30,348.62271863802584,34864.11328125,49.65434228853899,-0.3029322028160095,-0.15301376581192017,20.29989242553711
33,15.8393517,-12.5276705,60,1892.5088931359269,1022775.5,433.34126103919004,-0.1790601909160614,0.6367807984352112,42.630393981933594
33,15.8393517,-12.5276705,120,10284.575497367874,1948018.75,2962.0478531919484,-0.29419898986816406,0.3195721507072449,83.77072143554688
33,15.8393517,-12.5276705,240,33432.379658627964,2936759.5,8167.815018299503,-0.36790892481803894,0.12340427935123444,147.32798767089844
34,15.80946062,-12.48806005,30,133.5794572431082,10296.75390625,16.86948497778677,-0.27849385142326355,-0.16639703512191772,22.311166763305664
34,15.80946062,-12.48806005,60,1122.3910135178924,525605.875,199.34500287967825,-0.21684794127941132,0.7544087767601013,45.26045608520508
34,15.80946062,-12.48806005,120,8525.271029394542,1824691.25,2384.713122608633,-0.2847957909107208,0.3521200716495514,88.00852966308594
34,15.80946062,-12.48806005,240,32585.508038319425,2930543.75,8058.569105831204,-0.3670337498188019,0.12414563447237015,154.84080505371094
35,16.0147384,-12.5928052,30,199.0422274756702,20922.30859375,34.37586576325735,-0.32654711604118347,-0.041908133774995804,23.02780532836914
35,16.0147384,-12.5928052,60,1523.5199814052355,342858.3125,374.8752183334112,-0.29516422748565674,0.35176366567611694,44.698448181152344
35,16.0147384,-12.5928052,120,8814.862267884826,1794757.5,2529.0670839884083,-0.2827547788619995,0.3600979149341583,85.44164276123047
35,16.0147384,-12.5928052,240,32658.318913894884,2914989.0,7982.283583706746,-0.3662176728248596,0.1266983151435852,154.2747802734375
36,16.0952236,-12.6166219,30,289.73529970351694,51153.828125,64.96398472104597,-0.18193869292736053,0.3665752410888672,22.77869415283203
36,16.0952236,-12.6166219,60,1768.6592153751694,635410.8125,485.58353108612994,-0.2631192207336426,0.6171630024909973,43.27446746826172
36,16.0952236,-12.6166219,120,9298.470569862444,1817394.875,2650.376286107609,-0.28690576553344727,0.35267066955566406,84.04290008544922
36,16.0952236,-12.6166219,240,33285.969596071394,2928316.5,8059.588176163128,-0.36714252829551697,0.1246311143040657,151.8061981201172
37,16.00378707,-12.61702845,30,331.69429140127454,32838.703125,60.33303123510271,-0.30299097299575806,-0.08514323085546494,20.7102108001709
37,16.00378707,-12.61702845,60,2038.061817006467,998939.625,561.7941947458471,-0.21021051704883575,0.656531810760498,42.959739685058594
37,16.00378707,-12.61702845,120,9759.404079102404,1877025.125,2861.9922065167143,-0.2895500957965851,0.33655473589897156,82.84899139404297
37,16.00378707,-12.61702845,240,33264.10761552736,2924260.0,8086.014566135984,-0.36704227328300476,0.12521520256996155,149.71177673339844
38,15.21858319,-12.73976599,30,190.5499059811649,7095.4423828125,23.059322879627,-0.44203293323516846,-0.2960415780544281,20.380002975463867
38,15.21858319,-12.73976599,60,1092.7473626176163,101709.4140625,329.0532066011369,-0.4071921706199646,-0.15477459132671356,43.375335693359375
38,15.21858319,-12.73976599,120,7055.329563481452,1529036.0,2292.291656021996,-0.30978599190711975,0.42425113916397095,88.10517883300781
38,15.21858319,-12.73976599,240,24564.101903562805,2563318.5,6616.012701120844,-0.3464651107788086,0.18373960256576538,153.47933959960938
39,15.11665982,-12.85058095,30,458.07253346862944,79144.09375,208.4369524340325,-0.35183772444725037,0.014997754245996475,20.071367263793945
39,15.11665982,-12.85058095,60,2003.4202922467662,244219.609375,556.2232940884362,-0.34925761818885803,0.1694706380367279,40.24648666381836
39,15.11665982,-12.85058095,120,7851.940139934116,1595112.875,2598.442292985241,-0.3199566900730133,0.39614367485046387,79.21514129638672
39,15.11665982,-12.85058095,240,25942.063035457737,2601470.25,6883.223457771461,-0.35069164633750916,0.1769215613603592,148.8849639892578
