site_index,lon,lat,thresh_min,pop_marginal,pop_total_catch,pct_marginal,no,project,sector,muni
30,15.9000005,-12.5323524,60,38086.2109375,706232.0,5.392875278591172,7,Construção da Vala de irrigação do Colonato Agrícola de Catete - Comuna do Mbave,Irrigation,Tchikala-tcholoanga
30,15.9000005,-12.5323524,120,35223.4609375,1909618.0,1.8445291643407216,7,Construção da Vala de irrigação do Colonato Agrícola de Catete - Comuna do Mbave,Irrigation,Tchikala-tcholoanga
30,15.9000005,-12.5323524,240,63992.25390625,2936578.0,2.179143680373891,7,Construção da Vala de irrigação do Colonato Agrícola de Catete - Comuna do Mbave,Irrigation,Tchikala-tcholoanga
31,15.85686013,-12.55910948,30,19201.27734375,20155.29296875,95.26667448357529,8,Construção da Vala de Irrigação da Aldeia de Sesse- Comuna do Mbave,Irrigation,Tchikala-tcholoanga
31,15.85686013,-12.55910948,60,23026.43359375,950150.25,2.423451827092609,8,Construção da Vala de Irrigação da Aldeia de Sesse- Comuna do Mbave,Irrigation,Tchikala-tcholoanga
31,15.85686013,-12.55910948,120,19572.095703125,1894381.5,1.03316547924085,8,Construção da Vala de Irrigação da Aldeia de Sesse- Comuna do Mbave,Irrigation,Tchikala-tcholoanga
31,15.85686013,-12.55910948,240,64728.03125,2924382.25,2.21339160603919,8,Construção da Vala de Irrigação da Aldeia de Sesse- Comuna do Mbave,Irrigation,Tchikala-tcholoanga
32,15.8353055,-12.5386274,30,32623.9453125,37593.70703125,86.78033609556287,9,Construção da Vala de Irrigação da sede -  Comuna do Mbave,Irrigation,Tchikala-tcholoanga
32,15.8353055,-12.5386274,60,31363.42578125,1030479.75,3.0435751679011647,9,Construção da Vala de Irrigação da sede -  Comuna do Mbave,Irrigation,Tchikala-tcholoanga
32,15.8353055,-12.5386274,120,27330.76953125,1955138.625,1.397894204624493,9,Construção da Vala de Irrigação da sede -  Comuna do Mbave,Irrigation,Tchikala-tcholoanga
32,15.8353055,-12.5386274,240,65337.765625,2937240.75,2.2244606821895685,9,Construção da Vala de Irrigação da sede -  Comuna do Mbave,Irrigation,Tchikala-tcholoanga
33,15.8393517,-12.5276705,30,30781.81640625,34864.109375,88.29084395978494,10,Construção da Vala de irrigação da Aldeia de Palestina - Comuna do Mbave,Irrigation,Tchikala-tcholoanga
33,15.8393517,-12.5276705,60,30623.41796875,1022775.5,2.9941485662053893,10,Construção da Vala de irrigação da Aldeia de Palestina - Comuna do Mbave,Irrigation,Tchikala-tcholoanga
33,15.8393517,-12.5276705,120,26536.9609375,1948018.5,1.3622540513603951,10,Construção da Vala de irrigação da Aldeia de Palestina - Comuna do Mbave,Irrigation,Tchikala-tcholoanga
33,15.8393517,-12.5276705,240,65298.9921875,2936759.5,2.223504927369776,10,Construção da Vala de irrigação da Aldeia de Palestina - Comuna do Mbave,Irrigation,Tchikala-tcholoanga
34,15.80946062,-12.48806005,30,10296.75390625,10296.75390625,100.0,11,Construção da Vala de irrigação da aldeia Chitungo - Comuna do Mbave,Irrigation,Tchikala-tcholoanga
34,15.80946062,-12.48806005,60,14749.5126953125,525605.875,2.806192509798811,11,Construção da Vala de irrigação da aldeia Chitungo - Comuna do Mbave,Irrigation,Tchikala-tcholoanga
34,15.80946062,-12.48806005,120,13348.7294921875,1824691.25,0.7315609965350303,11,Construção da Vala de irrigação da aldeia Chitungo - Comuna do Mbave,Irrigation,Tchikala-tcholoanga
